start_time,caller_service,callee_service,operation
1675078732052000000,ts-gateway-service-6f6cfc45b-d9pnv,ts-travel2-service-5c66d57d58-zxw8n,/api/v1/travel2service/trips/left
1675078732060000000,ts-travel2-service-5c66d57d58-zxw8n,ts-basic-service-5dc8d4f9fd-llznp,/api/v1/basicservice/basic/travels
1675078732064000000,ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,/api/v1/stationservice/stations/idlist
1675078732070000000,ts-basic-service-5dc8d4f9fd-llznp,ts-train-service-86f5f97bc9-tlpss,/api/v1/trainservice/trains/byNames
1675078732077000000,ts-basic-service-5dc8d4f9fd-llznp,ts-route-service-b6c59fb57-dz9bw,/api/v1/routeservice/routes/byIds/
1675078732755000000,ts-basic-service-5dc8d4f9fd-llznp,ts-price-service-76846864d9-nmjz7,/api/v1/priceservice/prices/byRouteIdsAndTrainTypes
1675078732769000000,ts-travel2-service-5c66d57d58-zxw8n,ts-seat-service-5c95b49cff-mxdsg,/api/v1/seatservice/seats/left_tickets
1675078732775000000,ts-seat-service-5c95b49cff-mxdsg,ts-order-other-service-6cdbf9b4cc-swvb5,/api/v1/orderOtherService/orderOther/tickets
1675078732783000000,ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,/api/v1/configservice/configs/{configName}
1675078732815000000,ts-travel2-service-5c66d57d58-zxw8n,ts-seat-service-5c95b49cff-mxdsg,/api/v1/seatservice/seats/left_tickets
1675078732819000000,ts-seat-service-5c95b49cff-mxdsg,ts-order-other-service-6cdbf9b4cc-swvb5,/api/v1/orderOtherService/orderOther/tickets
1675078732824000000,ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,/api/v1/configservice/configs/{configName}
1675078733046000000,ts-gateway-service-6f6cfc45b-d9pnv,ts-auth-service-7f8d7d756d-kzp47,/api/v1/users/login
1675078733054000000,ts-auth-service-7f8d7d756d-kzp47,ts-verification-code-service-7b6dc75c45-r66rb,/api/v1/verifycode/verify/{verifyCode}
1675078733384000000,ts-gateway-service-6f6cfc45b-d9pnv,ts-travel2-service-5c66d57d58-zxw8n,/api/v1/travel2service/trips/left
1675078733391000000,ts-travel2-service-5c66d57d58-zxw8n,ts-basic-service-5dc8d4f9fd-llznp,/api/v1/basicservice/basic/travels
1675078733394000000,ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,/api/v1/stationservice/stations/idlist
1675078733399000000,ts-basic-service-5dc8d4f9fd-llznp,ts-train-service-86f5f97bc9-tlpss,/api/v1/trainservice/trains/byNames
1675078733405000000,ts-basic-service-5dc8d4f9fd-llznp,ts-route-service-b6c59fb57-dz9bw,/api/v1/routeservice/routes/byIds/
1675078733423000000,ts-basic-service-5dc8d4f9fd-llznp,ts-price-service-76846864d9-nmjz7,/api/v1/priceservice/prices/byRouteIdsAndTrainTypes
1675078733435000000,ts-travel2-service-5c66d57d58-zxw8n,ts-seat-service-5c95b49cff-mxdsg,/api/v1/seatservice/seats/left_tickets
1675078733440000000,ts-seat-service-5c95b49cff-mxdsg,ts-order-other-service-6cdbf9b4cc-swvb5,/api/v1/orderOtherService/orderOther/tickets
1675078733446000000,ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,/api/v1/configservice/configs/{configName}
1675078733454000000,ts-travel2-service-5c66d57d58-zxw8n,ts-seat-service-5c95b49cff-mxdsg,/api/v1/seatservice/seats/left_tickets
1675078733458000000,ts-seat-service-5c95b49cff-mxdsg,ts-order-other-service-6cdbf9b4cc-swvb5,/api/v1/orderOtherService/orderOther/tickets
1675078733463000000,ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,/api/v1/configservice/configs/{configName}
1675078733504000000,ts-gateway-service-6f6cfc45b-d9pnv,ts-food-service-f5756978c-6sb8t,/api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId}
1675078733510000000,ts-food-service-f5756978c-6sb8t,ts-train-food-service-59bbbdd99b-cz98n,/api/v1/trainfoodservice/trainfoods/{tripId}
1675078733523000000,ts-food-service-f5756978c-6sb8t,ts-travel-service-64469b5b48-5rjvb,/api/v1/travelservice/routes/{tripId}
1675078733534000000,ts-travel-service-64469b5b48-5rjvb,ts-route-service-b6c59fb57-dz9bw,/api/v1/routeservice/routes/{routeId}
1675078733556000000,ts-food-service-f5756978c-6sb8t,ts-station-food-service-dc4d75dd-k65k2,/api/v1/stationfoodservice/stationfoodstores
1675078733608000000,ts-gateway-service-6f6cfc45b-d9pnv,ts-preserve-other-service-66646bdb5b-l8hp6,/api/v1/preserveotherservice/preserveOther
1675078733614000000,ts-preserve-other-service-66646bdb5b-l8hp6,ts-security-service-cb9788d56-bdkcx,/api/v1/securityservice/securityConfigs/{accountId}
1675078733621000000,ts-security-service-cb9788d56-bdkcx,ts-order-service-5b67c48447-fj8b7,/api/v1/orderservice/order/security/{checkDate}/{accountId}
1675078733636000000,ts-security-service-cb9788d56-bdkcx,ts-order-other-service-6cdbf9b4cc-swvb5,/api/v1/orderOtherService/orderOther/security/{checkDate}/{accountId}
1675078733653000000,ts-preserve-other-service-66646bdb5b-l8hp6,ts-contacts-service-866bd68c97-dzqgd,/api/v1/contactservice/contacts/{id}
1675078733670000000,ts-preserve-other-service-66646bdb5b-l8hp6,ts-travel2-service-5c66d57d58-zxw8n,/api/v1/travel2service/trip_detail
1675078733675000000,ts-travel2-service-5c66d57d58-zxw8n,ts-basic-service-5dc8d4f9fd-llznp,/api/v1/basicservice/basic/travel
1675078733678000000,ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,/api/v1/stationservice/stations/id/{stationNameForId}
1675078733683000000,ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,/api/v1/stationservice/stations/id/{stationNameForId}
1675078733686000000,ts-basic-service-5dc8d4f9fd-llznp,ts-train-service-86f5f97bc9-tlpss,/api/v1/trainservice/trains/byName/{name}
1675078733691000000,ts-basic-service-5dc8d4f9fd-llznp,ts-route-service-b6c59fb57-dz9bw,/api/v1/routeservice/routes/{routeId}
1675078733704000000,ts-basic-service-5dc8d4f9fd-llznp,ts-price-service-76846864d9-nmjz7,/api/v1/priceservice/prices/{routeId}/{trainType}
1675078733716000000,ts-travel2-service-5c66d57d58-zxw8n,ts-seat-service-5c95b49cff-mxdsg,/api/v1/seatservice/seats/left_tickets
1675078733721000000,ts-seat-service-5c95b49cff-mxdsg,ts-order-other-service-6cdbf9b4cc-swvb5,/api/v1/orderOtherService/orderOther/tickets
1675078733733000000,ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,/api/v1/configservice/configs/{configName}
1675078733965000000,ts-travel2-service-5c66d57d58-zxw8n,ts-seat-service-5c95b49cff-mxdsg,/api/v1/seatservice/seats/left_tickets
1675078733969000000,ts-seat-service-5c95b49cff-mxdsg,ts-order-other-service-6cdbf9b4cc-swvb5,/api/v1/orderOtherService/orderOther/tickets
1675078733997000000,ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,/api/v1/configservice/configs/{configName}
1675078734037000000,ts-preserve-other-service-66646bdb5b-l8hp6,ts-basic-service-5dc8d4f9fd-llznp,/api/v1/basicservice/basic/travel
1675078734040000000,ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,/api/v1/stationservice/stations/id/{stationNameForId}
1675078734044000000,ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,/api/v1/stationservice/stations/id/{stationNameForId}
1675078734048000000,ts-basic-service-5dc8d4f9fd-llznp,ts-train-service-86f5f97bc9-tlpss,/api/v1/trainservice/trains/byName/{name}
1675078734056000000,ts-basic-service-5dc8d4f9fd-llznp,ts-route-service-b6c59fb57-dz9bw,/api/v1/routeservice/routes/{routeId}
1675078734066000000,ts-basic-service-5dc8d4f9fd-llznp,ts-price-service-76846864d9-nmjz7,/api/v1/priceservice/prices/{routeId}/{trainType}
1675078734077000000,ts-preserve-other-service-66646bdb5b-l8hp6,ts-seat-service-5c95b49cff-mxdsg,/api/v1/seatservice/seats
1675078734081000000,ts-seat-service-5c95b49cff-mxdsg,ts-order-other-service-6cdbf9b4cc-swvb5,/api/v1/orderOtherService/orderOther/tickets
1675078734098000000,ts-preserve-other-service-66646bdb5b-l8hp6,ts-order-other-service-6cdbf9b4cc-swvb5,/api/v1/orderOtherService/orderOther
1675078734114000000,ts-preserve-other-service-66646bdb5b-l8hp6,ts-assurance-service-69876c9868-wqgrl,/api/v1/assuranceservice/assurances/{typeIndex}/{orderId}
1675078734144000000,ts-preserve-other-service-66646bdb5b-l8hp6,ts-food-service-f5756978c-6sb8t,/api/v1/foodservice/orders
1675078734159000000,ts-food-service-f5756978c-6sb8t,ts-delivery-service-7d97b69596-gfnbr,food_delivery process
1675078734159000000,ts-food-service-f5756978c-6sb8t,ts-delivery-service-7d97b69596-gfnbr,food_delivery process
1675078734163000000,ts-preserve-other-service-66646bdb5b-l8hp6,ts-user-service-687d654649-f8jtd,/api/v1/userservice/users/id/{userId}
1675078734192000000,ts-gateway-service-6f6cfc45b-d9pnv,ts-travel-service-64469b5b48-5rjvb,/api/v1/travelservice/trips/left
1675078734205000000,ts-travel-service-64469b5b48-5rjvb,ts-basic-service-5dc8d4f9fd-llznp,/api/v1/basicservice/basic/travels
