caller_service,callee_service,interval,count
ts-basic-service-5dc8d4f9fd-llznp,ts-train-service-86f5f97bc9-tlpss,0,1
ts-travel2-service-5c66d57d58-zxw8n,ts-seat-service-5c95b49cff-mxdsg,0,2
ts-basic-service-5dc8d4f9fd-llznp,ts-price-service-76846864d9-nmjz7,0,1
ts-gateway-service-6f6cfc45b-d9pnv,ts-auth-service-7f8d7d756d-kzp47,0,1
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,0,2
ts-travel2-service-5c66d57d58-zxw8n,ts-basic-service-5dc8d4f9fd-llznp,0,1
ts-seat-service-5c95b49cff-mxdsg,ts-order-other-service-6cdbf9b4cc-swvb5,0,2
ts-gateway-service-6f6cfc45b-d9pnv,ts-travel2-service-5c66d57d58-zxw8n,0,1
ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,0,1
ts-basic-service-5dc8d4f9fd-llznp,ts-route-service-b6c59fb57-dz9bw,0,1
ts-security-service-cb9788d56-bdkcx,ts-order-service-5b67c48447-fj8b7,1,1
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,1,4
ts-seat-service-5c95b49cff-mxdsg,ts-order-other-service-6cdbf9b4cc-swvb5,1,4
ts-security-service-cb9788d56-bdkcx,ts-order-other-service-6cdbf9b4cc-swvb5,1,1
ts-travel2-service-5c66d57d58-zxw8n,ts-seat-service-5c95b49cff-mxdsg,1,4
ts-basic-service-5dc8d4f9fd-llznp,ts-train-service-86f5f97bc9-tlpss,1,3
ts-food-service-f5756978c-6sb8t,ts-station-food-service-dc4d75dd-k65k2,1,1
ts-food-service-f5756978c-6sb8t,ts-travel-service-64469b5b48-5rjvb,1,1
ts-gateway-service-6f6cfc45b-d9pnv,ts-food-service-f5756978c-6sb8t,1,1
ts-travel2-service-5c66d57d58-zxw8n,ts-basic-service-5dc8d4f9fd-llznp,1,2
ts-basic-service-5dc8d4f9fd-llznp,ts-price-service-76846864d9-nmjz7,1,2
ts-basic-service-5dc8d4f9fd-llznp,ts-route-service-b6c59fb57-dz9bw,1,2
ts-food-service-f5756978c-6sb8t,ts-train-food-service-59bbbdd99b-cz98n,1,1
ts-travel-service-64469b5b48-5rjvb,ts-route-service-b6c59fb57-dz9bw,1,1
ts-auth-service-7f8d7d756d-kzp47,ts-verification-code-service-7b6dc75c45-r66rb,1,1
ts-gateway-service-6f6cfc45b-d9pnv,ts-travel2-service-5c66d57d58-zxw8n,1,1
ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,1,5
ts-preserve-other-service-66646bdb5b-l8hp6,ts-contacts-service-866bd68c97-dzqgd,1,1
ts-preserve-other-service-66646bdb5b-l8hp6,ts-travel2-service-5c66d57d58-zxw8n,1,1
ts-preserve-other-service-66646bdb5b-l8hp6,ts-basic-service-5dc8d4f9fd-llznp,1,1
ts-gateway-service-6f6cfc45b-d9pnv,ts-preserve-other-service-66646bdb5b-l8hp6,1,1
ts-preserve-other-service-66646bdb5b-l8hp6,ts-security-service-cb9788d56-bdkcx,1,1
ts-preserve-other-service-66646bdb5b-l8hp6,ts-assurance-service-69876c9868-wqgrl,2,1
ts-food-service-f5756978c-6sb8t,ts-delivery-service-7d97b69596-gfnbr,2,4
ts-travel-service-64469b5b48-5rjvb,ts-basic-service-5dc8d4f9fd-llznp,2,2
ts-travel-service-64469b5b48-5rjvb,ts-seat-service-5c95b49cff-mxdsg,2,4
ts-basic-service-5dc8d4f9fd-llznp,ts-price-service-76846864d9-nmjz7,2,4
ts-gateway-service-6f6cfc45b-d9pnv,ts-food-service-f5756978c-6sb8t,2,1
ts-security-service-cb9788d56-bdkcx,ts-order-service-5b67c48447-fj8b7,2,1
ts-preserve-other-service-66646bdb5b-l8hp6,ts-seat-service-5c95b49cff-mxdsg,2,1
ts-food-service-f5756978c-6sb8t,ts-travel-service-64469b5b48-5rjvb,2,1
ts-basic-service-5dc8d4f9fd-llznp,ts-train-service-86f5f97bc9-tlpss,2,3
ts-gateway-service-6f6cfc45b-d9pnv,ts-travel-service-64469b5b48-5rjvb,2,1
ts-food-service-f5756978c-6sb8t,ts-station-food-service-dc4d75dd-k65k2,2,1
ts-gateway-service-6f6cfc45b-d9pnv,ts-preserve-service-b5ccf8557-l5l4p,2,1
ts-food-service-f5756978c-6sb8t,ts-train-food-service-59bbbdd99b-cz98n,2,1
ts-preserve-service-b5ccf8557-l5l4p,ts-user-service-687d654649-f8jtd,2,1
